Year,Month,Day,LAT,LON,DURATION,HOOKS_SET
2001,11,22,24,13,7.183333333,19200
2010,8,19,23,13,5.816666667,18000
2011,5,29,23,13,6.55,18000
2013,1,20,23,13,7.216666667,18000
2002,6,12,23,13,7.333333333,22400
2000,9,20,23,13,8,19200
2012,2,17,23,13,6.2,18000
2013,3,13,26,14,9.266666667,18000
2012,6,13,26,14,6.416666667,18000
2007,3,9,22,13,6.5,18000
2013,1,31,22,12,7.083333333,18000
2014,11,21,22,12,6.866666667,18000
2010,9,30,21,12,5.75,18000
2010,9,26,21,12,1.866666667,18000
2011,8,31,21,12,5.683333333,18000
2011,8,30,21,12,3.333333333,18000
2016,6,22,21,12,5,18000
2010,1,11,21,12,7.05,18000
2001,5,6,21,12,8,19200
2016,2,19,21,12,6.733333333,18000
2015,2,2,21,12,6.9,18000
2016,7,26,21,12,6.683333333,18000
2016,11,15,21,12,4.55,18000
2013,9,23,20,12,6.766666667,18000
2013,9,5,20,12,5.883333333,18000
2016,9,20,20,12,6.533333333,19320
2014,6,7,20,12,6.933333333,18000
2016,7,27,20,12,6.983333333,18000
2003,4,7,25,13,10.93333333,9984
2012,8,19,25,13,6.666666667,18000
2012,7,1,25,13,4.833333333,18000
2014,1,25,25,13,6.8,18000
2011,9,16,24,13,17.16666667,18000
2013,1,19,23,13,4.983333333,18000
2014,5,28,23,13,6.95,18000
2010,8,18,23,13,6.433333333,18000
2010,12,18,23,13,6,18000
2013,2,24,23,13,7.15,18000
2003,6,21,23,13,13.3,10300
2016,2,10,23,13,6.266666667,18000
2012,5,19,23,13,6.516666667,18000
2010,11,5,22,13,6.833333333,18000
2016,8,8,22,13,6.783333333,18000
2016,8,9,22,13,9.166666667,13000
2014,12,8,22,13,6.4,18000
2012,6,29,26,14,6.65,18000
2003,4,29,22,12,8.033333333,21632
2003,11,1,22,12,8.55,11776
2003,11,1,22,12,8.55,11776
2003,2,20,22,12,5.55,10368
2001,11,10,21,12,7.133333333,19200
2003,12,10,21,12,12.28333333,11776
2003,4,26,21,12,7.466666667,11264
2002,7,9,21,12,5.033333333,10500
2003,12,12,20,12,14.13333333,11776
2002,5,20,24,13,16.18333333,14560
2002,12,18,27,14,8.666666667,10368
2001,5,8,24,12,8,19200
2011,9,22,22,12,3.616666667,18000
2007,1,29,22,12,7,18000
2014,6,21,21,12,6.95,18000
2010,3,29,21,12,6,18000
2001,3,28,21,12,8,19200
2001,5,7,21,12,8,19200
2001,3,31,21,12,8,19200
2001,2,11,21,12,8,19200
2001,2,22,21,12,8,19200
2015,1,26,21,12,6.8,18000
2012,8,29,21,12,1.3,18000
2016,7,25,21,12,6.566666667,18000
2012,9,8,20,12,3.916666667,18000
2013,9,22,20,12,4.283333333,18000
2010,6,4,20,12,6.866666667,18000
2015,6,29,20,12,7.116666667,1800
2015,7,19,20,12,6.8,18000
2014,6,6,20,12,6.716666667,18000
2013,5,24,25,13,5.466666667,18000
2013,12,9,25,13,12,9000
2013,12,14,25,13,22.91666667,18000
2014,6,15,24,13,6.9,18000
2011,6,10,24,13,6.183333333,18000
2014,2,18,24,13,6.816666667,18000
2012,6,23,24,13,6.8,18000
2014,11,3,24,13,6.75,18000
2014,9,3,24,13,7,18000
